Date,symbol,time,price,volumeDay,volumeSecond,PCI,volumeMinute,4% - 2%,priceSpread30MinutePCIPre5,2% - 1%,firstHourLow,tickMinute,PCIMinute,volume30MinutesBefore5,tick30MinutesBefore5,markD,priceSpread30MinutePCIPre5,
070121,HCDI,12:10:57,3.35,307210.0,8000,0.006006006006006011,122355,1,0.0030674846625767583,1,3.26,33,0.030769230769230795,1408,9,3.4,0.0030674846625767583,
070121,ELSE,15:20:55,5.205,86296.0,8998,0.008720930232558126,72219,0,0.008130081300813016,0,4.89,35,0.0493951612903226,900,2,6.44,0.008130081300813016,
070121,IVZ,16:37:01,27.23,3334659.0,29300,0.010389610389610431,65301,0,7.426661715558698E-4,0,26.66,20,0.010389610389610431,429467,9,1.87,7.426661715558698E-4,
070621,EVOL,14:29:21,2.4099,329813.0,11855,0.018468430394725656,126816,1,0.005946166765012987,0,2.16,44,0.03875000000000004,1120,9,7.58,0.005946166765012987,
041921,PETZ,15:02:21,2.4177,161009.0,8200,0.00737500000000002,79479,1,0.0035050655399240706,1,2.1,38,0.05117391304347833,164,8,14.04,0.0035050655399240706,
050521,MTP,15:09:30,2.235,267481.0,7200,0.0018378233000133446,88857,1,0.004608294930875683,1,2.13,25,0.025888185072982652,3765,9,1.13,0.004608294930875683,
050621,THTX,12:45:14,3.6,182660.0,7400,0.0047446274072006425,66405,0,0.0057142857142857195,0,3.43,23,0.020697476609016146,11708,7,4.05,0.0057142857142857195,
050721,CREG,13:52:52,9.303,122861.0,11549,0.018948521358159914,69676,1,0.008460236886632746,1,8.49,21,0.04176931690929464,12529,8,9.58,0.008460236886632746,
051721,KBSF,15:33:41,3.2899,213942.0,5000,0.006085626911314926,53098,0,0.0033557046979866547,0,2.88,30,0.04793909664267045,140,2,9.66,0.0033557046979866547,
052421,PTPI,16:00:14,4.26,386207.0,10115,0.002352941176470538,196838,0,0.028938906752411675,1,2.9,49,0.34810126582278467,8861,9,42.95,0.028938906752411675,
052521,DSU,15:40:12,11.2,124025.0,6893,0.0017889087656529135,59861,0,0.001446131597975417,0,0.0,32,0.011743450767840922,3810,9,1.08,0.001446131597975417,
052621,ARPO,17:03:22,1.96,1435323.0,9523,0.0051282051282051325,80162,0,0.0,0,1.67,27,0.1136363636363636,133,4,15.98,0.0,
052621,PRFX,14:53:05,2.77,369478.0,6357,0.010948905109488979,85417,1,0.01893939393939387,1,2.57,38,0.04528301886792457,4974,10,-0.36,0.01893939393939387,
060321,PROG,16:47:13,2.43,2689182.0,6719,0.012500000000000105,58296,1,0.00476190476190466,1,2.14,48,0.004132231404958773,1632,10,10.96,0.00476190476190466,
060421,LMNL,16:15:17,6.06,1040497.0,8120,0.001652892561983436,237887,1,0.0,1,3.924,39,0.5074626865671642,0,0,46.02,0.0,
061021,NVCN,15:30:16,1.05,535151.0,25721,0.029411764705882377,182064,0,0.0014336917562723572,1,0.9752,23,0.07372942018611316,5339,6,6.77,0.0014336917562723572,
061021,PLAG,12:45:57,1.87,285436.0,7266,0.00537634408602151,86530,0,0.014880952380952462,0,1.71,46,0.03314917127071826,8040,6,8.09,0.014880952380952462,
061021,CBLI,12:47:03,5.65,72258.0,11900,0.027272727272727337,56198,0,0.013157894736841992,0,5.39,25,0.0541044776119403,3391,10,3.67,0.013157894736841992,
061121,HX,13:34:58,1.77,246532.0,6000,0.01665709362435377,148162,0,0.0,0,1.59,56,0.0727272727272728,1311,3,9.94,0.0,
061121,IMH,12:28:17,2.285,174050.0,6866,0.009721608484312966,94791,1,0.013888888888888798,1,2.17,29,0.03393665158371049,6002,4,5.3,0.013888888888888798,
061421,ITP,16:55:33,0.516,1865374.0,5200,0.006240249609984361,231300,0,0.0023961661341852613,0,0.4959,23,0.030351437699680493,4495,8,0.76,0.0023961661341852613,
061421,EDTK,13:24:41,2.51,455294.0,6700,0.008113101453932042,107036,0,0.0233766233766233,0,2.23,53,0.02868852459016387,9410,10,7.26,0.0233766233766233,
061521,ETON,11:10:16,7.93,456061.0,19384,0.012771392081736863,361066,0,0.0,1,6.27,36,0.2567353407290016,12,3,21.63,0.0,
062521,ENSV,15:45:16,1.62,240411.0,14387,0.004339739615623135,59084,1,0.010293556995806323,1,1.571,22,0.018867924528301903,23265,10,1.89,0.010293556995806323,
063021,PED,14:31:39,1.569,157847.0,22392,0.012258064516128972,68090,1,0.006578947368421058,0,1.525,26,0.025490196078431324,3043,7,1.23,0.006578947368421058,
063021,FEDU,14:18:18,1.03,394438.0,10908,0.00980392156862746,91537,1,0.02105263157894739,0,0.93,26,0.036217303822937655,48890,10,8.42,0.02105263157894739,
Date,symbol,time,price,volumeDay,volumeSecond,PCI,volumeMinute,4% - 2%,priceSpread30MinutePCIPre5,2% - 1%,firstHourLow,tickMinute,PCIMinute,volume30MinutesBefore5,tick30MinutesBefore5,markD,priceSpread30MinutePCIPre5,
070121,HCDI,12:10:57,3.35,307210.0,8000,0.006006006006006011,122355,1,0.0030674846625767583,1,3.26,33,0.030769230769230795,1408,9,3.4,0.0030674846625767583,
070121,ELSE,15:20:55,5.205,86296.0,8998,0.008720930232558126,72219,0,0.008130081300813016,0,4.89,35,0.0493951612903226,900,2,6.44,0.008130081300813016,
070121,IVZ,16:37:01,27.23,3334659.0,29300,0.010389610389610431,65301,0,7.426661715558698E-4,0,26.66,20,0.010389610389610431,429467,9,1.87,7.426661715558698E-4,
